old_path,new_path,action,candidate_count
llm-wikid/wiki/sources/vault-dna测序解决了-怎么读-基因编辑解决了-怎么改-但在合成生物学里-还有一个更基础的大问题一直没有真正解决-怎么又快-又准-又便宜地-写-出大量dna-nbt-.md,llm-wikid/wiki/sources/vault-dna测序解决了-怎么读-基因编辑解决了-怎么改-但在合成生物学里-还有一个更基础的大问题一直没有真正解决-怎么又快-又准-又便宜地-写-出大量dna-nbt-.md,kept,
llm-wikid/wiki/sources/vault-这2款电脑神器-装了才算会用-这2款电脑神器-装了才算会用.md,llm-wikid/wiki/sources/vault-这2款电脑神器-装了才算会用-这2款电脑神器-装了才算会用.md,kept,
llm-wikid/wiki/sources/vault-提问永不过时-都agent时代了-我还是想分享给你这12个我最常用的prompt.md,llm-wikid/wiki/sources/vault-提问永不过时-都agent时代了-我还是想分享给你这12个我最常用的prompt.md,kept,
result/2026-08-23_wechat_raw_auto_route_manifest.csv,result/2026-08-23_wechat_raw_auto_route_manifest.csv,kept,
llm-wikid/raw/articles/待细分/这2款电脑神器，装了才算会用 这2款电脑神器，装了才算会用.md,llm-wikid/raw/articles/待细分/这2款电脑神器，装了才算会用 这2款电脑神器，装了才算会用.md,kept,
llm-wikid/raw/articles/学习AI/提示词与生图/提问永不过时 都Agent时代了，我还是想分享给你这12个我最常用的Prompt。.md,llm-wikid/raw/articles/学习AI/提示词与生图/提问永不过时 都Agent时代了，我还是想分享给你这12个我最常用的Prompt。.md,kept,
llm-wikid/raw/articles/学习AI/提示词与生图,llm-wikid/raw/articles/学习AI/提示词与生图,kept,
llm-wikid/raw/articles/科研/科研工具/生信工具/《The Plant Journal》发表拜耳与佐治亚大学团队BINN框架：嵌入通路先验的稀疏网络，训练整合多组学，推断仅需基因型。玉米数据精度显著优于GBLUP，敏感性分析可发现非线性-上位性....md,llm-wikid/raw/articles/科研/科研工具/生信工具/《The Plant Journal》发表拜耳与佐治亚大学团队BINN框架：嵌入通路先验的稀疏网络，训练整合多组学，推断仅需基因型。玉米数据精度显著优于GBLUP，敏感性分析可发现非线性-上位性....md,kept,
llm-wikid/raw/articles/科研/科研工具/了解-可能用到/Science Art一面科学，一面艺术，专注TOP级综述或分子机制图配图资料来源如果问一个育种家：现在水稻最 Nat commun - 华中农大熊立仲团队发现一个被意外截短的免疫蛋白，如何让水....md,llm-wikid/raw/articles/科研/科研工具/了解-可能用到/Science Art一面科学，一面艺术，专注TOP级综述或分子机制图配图资料来源如果问一个育种家：现在水稻最 Nat commun - 华中农大熊立仲团队发现一个被意外截短的免疫蛋白，如何让水....md,kept,
llm-wikid/raw/ideas/赚钱想法/工具流程/同步助手_2026-07-30.md,llm-wikid/raw/ideas/赚钱想法/工具流程/同步助手_2026-07-30.md,kept,
llm-wikid/raw/articles/科研/玉米遗传转化/DNA测序解决了“怎么读”，基因编辑解决了“怎么改”，但在合成生物学里，还有一个更基础的大问题一直没有真正解决：怎么又快、又准、又便宜地“写”出大量DNA。 NBT- 千条基因，一锅“拼”出来：....md,llm-wikid/raw/articles/科研/玉米遗传转化/DNA测序解决了“怎么读”，基因编辑解决了“怎么改”，但在合成生物学里，还有一个更基础的大问题一直没有真正解决：怎么又快、又准、又便宜地“写”出大量DNA。 NBT- 千条基因，一锅“拼”出来：....md,kept,
llm-wikid/raw/articles/科研/育种改良/南北学苑/铁系玉米不是一天炼成的。从1969年的第一份资源，到如今铁391横扫市场，四代育种人、57年不间断的坚守，才是“铁系”二字最厚重的底色。 铁系玉米的“前世今生”：一份来自南北学院的硬核阅读笔记.md,llm-wikid/raw/articles/科研/育种改良/南北学苑/铁系玉米不是一天炼成的。从1969年的第一份资源，到如今铁391横扫市场，四代育种人、57年不间断的坚守，才是“铁系”二字最厚重的底色。 铁系玉米的“前世今生”：一份来自南北学院的硬核阅读笔记.md,kept,
