old_path,new_path,action,candidate_count
llm-wikid/raw/ Nature Communications - 北大团队发现植物“高温生长”的“刹车”基因，为培育“气候智慧型”作物提供新靶点.md,llm-wikid/raw/articles/科研/科研工具/了解-可能用到/ Nature Communications - 北大团队发现植物“高温生长”的“刹车”基因，为培育“气候智慧型”作物提供新靶点.md,replaced_by_manifest,1
llm-wikid/raw/🤖 腾讯Hy3与阿里清华论文领衔，AI安全与市场波动并存 - AI 每日快报 - 2026年07月06日今日AI领域热点纷呈：腾讯混元Hy3正式版发布，阿里清华联合论文获ICML杰出论文奖，De....md,llm-wikid/raw/articles/科研/科研工具/了解-可能用到/🤖 腾讯Hy3与阿里清华论文领衔，AI安全与市场波动并存 - AI 每日快报 - 2026年07月06日今日AI领域热点纷呈：腾讯混元Hy3正式版发布，阿里清华联合论文获ICML杰出论文奖，De....md,replaced_by_manifest,1
llm-wikid/raw/ ISPRS Journal of Photogrammetry and Remote Sensing-无人机-卫星协同用于作物监测的现状、挑战与未来方向.md,llm-wikid/raw/articles/科研/科研工具/生信工具/ ISPRS Journal of Photogrammetry and Remote Sensing-无人机-卫星协同用于作物监测的现状、挑战与未来方向.md,replaced_by_manifest,1
llm-wikid/raw/ “以菌抗旱”！中国科学院在《Science》旗下期刊发表研究论文，阐明根际微生物与植物激素信号通路互作调控植物抗旱新机制.md,llm-wikid/raw/articles/科研/植物抗逆/耐旱/ “以菌抗旱”！中国科学院在《Science》旗下期刊发表研究论文，阐明根际微生物与植物激素信号通路互作调控植物抗旱新机制.md,replaced_by_manifest,1
llm-wikid/raw/ 不同作物光合特性差异可视化：荧光成像实测案例合集.md,llm-wikid/raw/articles/科研/科研工具/高温表型工具/ 不同作物光合特性差异可视化：荧光成像实测案例合集.md,replaced_by_manifest,1
llm-wikid/raw/ 2026.7.10  毕耀  玉米选育工作中断叶套袋法实际操作简介（南北学院）.md,llm-wikid/raw/articles/科研/育种改良/南北学苑/ 2026.7.10  毕耀  玉米选育工作中断叶套袋法实际操作简介（南北学院）.md,replaced_by_manifest,1
llm-wikid/raw/引言植物生长于复杂且异质的土壤环境中，根系必须完成锚定植株、吸收水分和养分以及应对环境胁迫等多重任务。 Science 重磅！西北农林团队成果改写教科书！拓展植物向性理论框架，揭示一种此前未知的....md,llm-wikid/raw/articles/科研/科研工具/了解-可能用到/引言植物生长于复杂且异质的土壤环境中，根系必须完成锚定植株、吸收水分和养分以及应对环境胁迫等多重任务。 Science 重磅！西北农林团队成果改写教科书！拓展植物向性理论框架，揭示一种此前未知的....md,replaced_by_manifest,1
llm-wikid/raw/基因编辑创制柱头外露雄性不育材料，配合 AI 机器人完成杂交授粉 让番茄花型适配机器人授粉    Cell 报道 GEAIR 系统，实现花型设计、柱头识别和自动授粉.md,llm-wikid/raw/articles/科研/玉米遗传转化/基因编辑创制柱头外露雄性不育材料，配合 AI 机器人完成杂交授粉 让番茄花型适配机器人授粉    Cell 报道 GEAIR 系统，实现花型设计、柱头识别和自动授粉.md,replaced_by_manifest,1
llm-wikid/raw/ PBJ  - 先正达团队开发LbCas12a介导的高效玉米HI-Edit技术体系，可用于商业化品种基因编辑.md,llm-wikid/raw/articles/科研/玉米遗传转化/ PBJ  - 先正达团队开发LbCas12a介导的高效玉米HI-Edit技术体系，可用于商业化品种基因编辑.md,replaced_by_manifest,1
llm-wikid/raw/本研究建立三重增效方案：利用精子 - 合子特异启动子驱动优化 LbCas12aV；授粉后适度热激提升酶活；Cas 融合 UBA2 结构域抵御降解。热激与 UBA 联用使 Wx1 位点平均单倍编辑....md,llm-wikid/raw/articles/科研/玉米遗传转化/本研究建立三重增效方案：利用精子 - 合子特异启动子驱动优化 LbCas12aV；授粉后适度热激提升酶活；Cas 融合 UBA2 结构域抵御降解。热激与 UBA 联用使 Wx1 位点平均单倍编辑....md,replaced_by_manifest,1
llm-wikid/raw/2026年07月13日·内容由AI生成... Hello Quark.md,llm-wikid/raw/articles/学习AI/工具流程/2026年07月13日·内容由AI生成... Hello Quark.md,replaced_by_manifest,1
result/2026-07-06_162717_obsidian_workspace_path_repair_manifest.csv,result/2026-07-06_162717_obsidian_workspace_path_repair_manifest.csv,kept,
result/2026-07-06_vault_note_skipped.csv,result/2026-07-06_vault_note_skipped.csv,kept,
result/2026-07-06_vault_note_inventory.csv,result/2026-07-06_vault_note_inventory.csv,kept,
llm-wikid/wiki/sources/vault-大改革-减少一次性大额融资对市场扰动-证监会征求意见-优化再融资制度.md,llm-wikid/wiki/sources/vault-大改革-减少一次性大额融资对市场扰动-证监会征求意见-优化再融资制度.md,kept,
llm-wikid/wiki/sources/vault-2026-7-5-王超-一个不太懂ai的育种家如何理解ai在育种研发中的作用及自身的角色调整-南北学院.md,llm-wikid/wiki/sources/vault-2026-7-5-王超-一个不太懂ai的育种家如何理解ai在育种研发中的作用及自身的角色调整-南北学院.md,kept,
llm-wikid/wiki/sources/vault-本文依托近二十年多作物ai育种实证案例-从高通量表型革新-ai分子育种-g-e-m互作建模-现存瓶颈与未来方向四大维度系统梳理ai在作物育种中的完整应用体系-为.md,llm-wikid/wiki/sources/vault-本文依托近二十年多作物ai育种实证案例-从高通量表型革新-ai分子育种-g-e-m互作建模-现存瓶颈与未来方向四大维度系统梳理ai在作物育种中的完整应用体系-为.md,kept,
llm-wikid/wiki/sources/vault-crop-irm-作物种质资源器官表型智能识别与管理系统研发.md,llm-wikid/wiki/sources/vault-crop-irm-作物种质资源器官表型智能识别与管理系统研发.md,kept,
result/2026-07-06_wechat_raw_auto_route_manifest.csv,result/2026-07-06_wechat_raw_auto_route_manifest.csv,kept,
llm-wikid/raw/articles/科研/科研工具/高温表型工具/本文依托近二十年多作物AI育种实证案例，从高通量表型革新、AI分子育种、G×E×M互作建模、现存瓶颈与未来方向四大维度系统梳理AI在作物育种中的完整应用体系，为从事表型组、基因组、基因编辑、种质....md,llm-wikid/raw/articles/科研/科研工具/高温表型工具/本文依托近二十年多作物AI育种实证案例，从高通量表型革新、AI分子育种、G×E×M互作建模、现存瓶颈与未来方向四大维度系统梳理AI在作物育种中的完整应用体系，为从事表型组、基因组、基因编辑、种质....md,kept,
llm-wikid/raw/articles/股票/前沿消息/大改革 减少一次性大额融资对市场扰动！证监会征求意见，优化再融资制度.md,llm-wikid/raw/articles/股票/前沿消息/大改革 减少一次性大额融资对市场扰动！证监会征求意见，优化再融资制度.md,kept,
llm-wikid/raw/articles/科研/科研工具/高温表型工具/ Crop-IRM：作物种质资源器官表型智能识别与管理系统研发.md,llm-wikid/raw/articles/科研/科研工具/高温表型工具/ Crop-IRM：作物种质资源器官表型智能识别与管理系统研发.md,kept,
llm-wikid/raw/articles/科研/育种改良/南北学苑/ 2026.7.5  王超  一个不太懂AI的育种家如何理解AI在育种研发中的作用及自身的角色调整（南北学院）.md,llm-wikid/raw/articles/科研/育种改良/南北学苑/ 2026.7.5  王超  一个不太懂AI的育种家如何理解AI在育种研发中的作用及自身的角色调整（南北学院）.md,kept,
llm-wikid/raw/articles/科研/育种改良/南北学苑,llm-wikid/raw/articles/科研/育种改良/南北学苑,kept,
result/2026-07-06_162715_web_clipper_import_manifest.csv,result/2026-07-06_162715_web_clipper_import_manifest.csv,kept,
QuickCapture.md,QuickCapture.md,kept,
llm-wikid/raw/ 2026.7.5  王超  一个不太懂AI的育种家如何理解AI在育种研发中的作用及自身的角色调整（南北学院）.md,llm-wikid/raw/articles/科研/育种改良/南北学苑/ 2026.7.5  王超  一个不太懂AI的育种家如何理解AI在育种研发中的作用及自身的角色调整（南北学院）.md,removed_duplicate,1
llm-wikid/raw/本文依托近二十年多作物AI育种实证案例，从高通量表型革新、AI分子育种、G×E×M互作建模、现存瓶颈与未来方向四大维度系统梳理AI在作物育种中的完整应用体系，为从事表型组、基因组、基因编辑、种质....md,llm-wikid/raw/articles/科研/科研工具/高温表型工具/本文依托近二十年多作物AI育种实证案例，从高通量表型革新、AI分子育种、G×E×M互作建模、现存瓶颈与未来方向四大维度系统梳理AI在作物育种中的完整应用体系，为从事表型组、基因组、基因编辑、种质....md,removed_duplicate,1
llm-wikid/raw/ Crop-IRM：作物种质资源器官表型智能识别与管理系统研发.md,llm-wikid/raw/articles/科研/科研工具/高温表型工具/ Crop-IRM：作物种质资源器官表型智能识别与管理系统研发.md,removed_duplicate,1
llm-wikid/raw/大改革 减少一次性大额融资对市场扰动！证监会征求意见，优化再融资制度.md,llm-wikid/raw/articles/股票/前沿消息/大改革 减少一次性大额融资对市场扰动！证监会征求意见，优化再融资制度.md,removed_duplicate,1
llm-wikid/raw/articles/股票/大牛博主学思路/解读猫笔刀（招财大牛猫）、刘备教授、林奇等大V文章，穿插价值投资思想 刘备教授：下半年布局展望.md,llm-wikid/raw/articles/股票/大牛博主学思路/解读猫笔刀（招财大牛猫）、刘备教授、林奇等大V文章，穿插价值投资思想 刘备教授：下半年布局展望.md,kept,
llm-wikid/raw/articles/股票/每日盘前消息记录/ 7月3日盘前干货.md,llm-wikid/raw/articles/股票/每日盘前消息记录/ 7月3日盘前干货.md,kept,
llm-wikid/raw/articles/股票/每日盘前消息记录,llm-wikid/raw/articles/股票/每日盘前消息记录,kept,
result/2026-07-03_113138_obsidian_workspace_path_repair_manifest.csv,result/2026-07-03_113138_obsidian_workspace_path_repair_manifest.csv,kept,
result/2026-07-03_vault_note_skipped.csv,result/2026-07-03_vault_note_skipped.csv,kept,
result/2026-07-03_vault_note_inventory.csv,result/2026-07-03_vault_note_inventory.csv,kept,
笔记同步助手/images/561605661ce619a68c2c7569a3051b4c_MD5.gif,笔记同步助手/images/561605661ce619a68c2c7569a3051b4c_MD5.gif,kept,
笔记同步助手/images/713e0f4b4314e4bf2fb5db12781d9ab7_MD5.png,笔记同步助手/images/713e0f4b4314e4bf2fb5db12781d9ab7_MD5.png,kept,
笔记同步助手/images/900148a43a4adeefdefb8fb4c5b51817_MD5.png,笔记同步助手/images/900148a43a4adeefdefb8fb4c5b51817_MD5.png,kept,
笔记同步助手/images/db7bfea0d3f36a87581de95cd5dc2c6f_MD5.png,笔记同步助手/images/db7bfea0d3f36a87581de95cd5dc2c6f_MD5.png,kept,
笔记同步助手/images/14ff227d8cfb3dda370a69d5c8848edf_MD5.gif,笔记同步助手/images/14ff227d8cfb3dda370a69d5c8848edf_MD5.gif,kept,
笔记同步助手/images/d1d2965775624f4ff18e3225521f92c0_MD5.png,笔记同步助手/images/d1d2965775624f4ff18e3225521f92c0_MD5.png,kept,
笔记同步助手/images/2959a06551ea203b55ab9e11ea5a3144_MD5.png,笔记同步助手/images/2959a06551ea203b55ab9e11ea5a3144_MD5.png,kept,
笔记同步助手/images/4cf39cf228cc1af260cdcf706b51c848_MD5.png,笔记同步助手/images/4cf39cf228cc1af260cdcf706b51c848_MD5.png,kept,
