source_path,target_path,rule_name,route_mode,source_kind,body_length
llm-wikid\raw\ Nature Plants - 一条进化保守的高温响应信号通路.md,llm-wikid\raw\articles\待细分\ Nature Plants - 一条进化保守的高温响应信号通路.md,fallback_uncertain,fallback,article,3251
llm-wikid\raw\ Nature plants-驯化选择的CIPK‑MYB‑HAK 分子模块提升现代玉米耐盐性.md,llm-wikid\raw\articles\科研\植物抗逆\耐盐\ Nature plants-驯化选择的CIPK‑MYB‑HAK 分子模块提升现代玉米耐盐性.md,science_stress_salt,rule,article,4616
llm-wikid\raw\ PCE综述 - 热旱叠加时，植物如何让整株在几分钟内统一行动.md,llm-wikid\raw\articles\科研\科研工具\了解-可能用到\ PCE综述 - 热旱叠加时，植物如何让整株在几分钟内统一行动.md,science_research_news,rule,article,5030
llm-wikid\raw\ Plant Com - 天津农学院-中国农业大学金危危团队发现玉米ZmPAR1可诱导卵细胞孤雌生殖与单倍体形成.md,llm-wikid\raw\articles\科研\科研工具\了解-可能用到\ Plant Com - 天津农学院-中国农业大学金危危团队发现玉米ZmPAR1可诱导卵细胞孤雌生殖与单倍体形成.md,fallback_科研,fallback,article,2999
llm-wikid\raw\ 全面系统总结植物干旱胁迫感知、信号转导及糖转运调控的最新研究进展.md,llm-wikid\raw\articles\科研\植物抗逆\耐旱\ 全面系统总结植物干旱胁迫感知、信号转导及糖转运调控的最新研究进展.md,science_stress_drought,rule,article,2702
llm-wikid\raw\ 历时18年攻关！万建民团队揭示亚洲栽培稻与非洲栽培稻种间生殖隔离的分子机制.md,llm-wikid\raw\articles\待细分\ 历时18年攻关！万建民团队揭示亚洲栽培稻与非洲栽培稻种间生殖隔离的分子机制.md,fallback_uncertain,fallback,article,4067
llm-wikid\raw\https---share.rayneo.cn-vBHBMw1X Session Sharing.md,llm-wikid\raw\articles\待细分\https---share.rayneo.cn-vBHBMw1X Session Sharing.md,fallback_uncertain,fallback,article,233
llm-wikid\raw\Science Art专注TOP级综述或分子机制配图传统玉米育种提高产量，主要围绕三个核心指标展开：穗数 × PC - 中国农大易飞团队发现从“一穗独大”到“双穗并进”：激素重编程如何突破玉米高....md,llm-wikid\raw\articles\科研\科研工具\了解-可能用到\Science Art专注TOP级综述或分子机制配图传统玉米育种提高产量，主要围绕三个核心指标展开：穗数 × PC - 中国农大易飞团队发现从“一穗独大”到“双穗并进”：激素重编程如何突破玉米高....md,science_research_news,rule,article,3189
llm-wikid\raw\企微文档转 Markdown 中国中化费用报销及报账共享系统操作培训V2.0-2024.9.13.md,llm-wikid\raw\articles\待细分\企微文档转 Markdown 中国中化费用报销及报账共享系统操作培训V2.0-2024.9.13.md,fallback_uncertain,fallback,article,13643
llm-wikid\raw\同步助手_2026-09-04.md,llm-wikid\raw\ideas\赚钱想法\工具流程\同步助手_2026-09-04.md,idea_tools_flow,rule,bookmark,254
llm-wikid\raw\玉米畸形穗大全 一根玉米穗，为何会长成22种“怪样子”？-智种快讯.md,llm-wikid\raw\articles\科研\科研工具\了解-可能用到\玉米畸形穗大全 一根玉米穗，为何会长成22种“怪样子”？-智种快讯.md,fallback_科研,fallback,article,14194
llm-wikid\raw\目前，各地玉米陆续成熟收获，新季玉米上市已悄然拉开序幕。 玉米收获后光知道晾晒可不行，想卖个好价钱，你得这样做！.md,llm-wikid\raw\articles\科研\科研工具\了解-可能用到\目前，各地玉米陆续成熟收获，新季玉米上市已悄然拉开序幕。 玉米收获后光知道晾晒可不行，想卖个好价钱，你得这样做！.md,fallback_科研,fallback,article,4473
llm-wikid\raw\铁T12067和铁T15107不仅保留了双亲优点，还产生了良好的配合力，组配品种迅速扩张：铁391、郁青392、雷单1号、华硕807、铁研369、丰盛A8、铁3107、铁3109、铁399、铁3....md,llm-wikid\raw\articles\待细分\铁T12067和铁T15107不仅保留了双亲优点，还产生了良好的配合力，组配品种迅速扩张：铁391、郁青392、雷单1号、华硕807、铁研369、丰盛A8、铁3107、铁3109、铁399、铁3....md,fallback_uncertain,fallback,article,4260
