source_path,target_path,rule_name,route_mode,source_kind,body_length
llm-wikid\raw\ 2026.7.10  毕耀  玉米选育工作中断叶套袋法实际操作简介（南北学院）.md,llm-wikid\raw\articles\科研\育种改良\南北学苑\ 2026.7.10  毕耀  玉米选育工作中断叶套袋法实际操作简介（南北学院）.md,science_breeding_seminar,rule,article,3825
llm-wikid\raw\ ISPRS Journal of Photogrammetry and Remote Sensing-无人机-卫星协同用于作物监测的现状、挑战与未来方向.md,llm-wikid\raw\articles\科研\科研工具\生信工具\ ISPRS Journal of Photogrammetry and Remote Sensing-无人机-卫星协同用于作物监测的现状、挑战与未来方向.md,science_bioinfo_tool,rule,article,9468
llm-wikid\raw\ Nature Communications - 北大团队发现植物“高温生长”的“刹车”基因，为培育“气候智慧型”作物提供新靶点.md,llm-wikid\raw\articles\科研\科研工具\了解-可能用到\ Nature Communications - 北大团队发现植物“高温生长”的“刹车”基因，为培育“气候智慧型”作物提供新靶点.md,science_research_news,rule,article,2012
llm-wikid\raw\ PBJ  - 先正达团队开发LbCas12a介导的高效玉米HI-Edit技术体系，可用于商业化品种基因编辑.md,llm-wikid\raw\articles\科研\玉米遗传转化\ PBJ  - 先正达团队开发LbCas12a介导的高效玉米HI-Edit技术体系，可用于商业化品种基因编辑.md,science_transform,rule,article,8588
llm-wikid\raw\ “以菌抗旱”！中国科学院在《Science》旗下期刊发表研究论文，阐明根际微生物与植物激素信号通路互作调控植物抗旱新机制.md,llm-wikid\raw\articles\科研\植物抗逆\耐旱\ “以菌抗旱”！中国科学院在《Science》旗下期刊发表研究论文，阐明根际微生物与植物激素信号通路互作调控植物抗旱新机制.md,science_stress_drought,rule,article,3660
llm-wikid\raw\ 不同作物光合特性差异可视化：荧光成像实测案例合集.md,llm-wikid\raw\articles\科研\科研工具\高温表型工具\ 不同作物光合特性差异可视化：荧光成像实测案例合集.md,science_pheno_tool,rule,article,4212
llm-wikid\raw\2026年07月13日·内容由AI生成... Hello Quark.md,llm-wikid\raw\articles\学习AI\工具流程\2026年07月13日·内容由AI生成... Hello Quark.md,fallback_学习AI,fallback,article,2520
llm-wikid\raw\基因编辑创制柱头外露雄性不育材料，配合 AI 机器人完成杂交授粉 让番茄花型适配机器人授粉    Cell 报道 GEAIR 系统，实现花型设计、柱头识别和自动授粉.md,llm-wikid\raw\articles\科研\玉米遗传转化\基因编辑创制柱头外露雄性不育材料，配合 AI 机器人完成杂交授粉 让番茄花型适配机器人授粉    Cell 报道 GEAIR 系统，实现花型设计、柱头识别和自动授粉.md,science_transform,rule,article,9617
llm-wikid\raw\引言植物生长于复杂且异质的土壤环境中，根系必须完成锚定植株、吸收水分和养分以及应对环境胁迫等多重任务。 Science 重磅！西北农林团队成果改写教科书！拓展植物向性理论框架，揭示一种此前未知的....md,llm-wikid\raw\articles\科研\科研工具\了解-可能用到\引言植物生长于复杂且异质的土壤环境中，根系必须完成锚定植株、吸收水分和养分以及应对环境胁迫等多重任务。 Science 重磅！西北农林团队成果改写教科书！拓展植物向性理论框架，揭示一种此前未知的....md,fallback_科研,fallback,article,2373
llm-wikid\raw\本研究建立三重增效方案：利用精子 - 合子特异启动子驱动优化 LbCas12aV；授粉后适度热激提升酶活；Cas 融合 UBA2 结构域抵御降解。热激与 UBA 联用使 Wx1 位点平均单倍编辑....md,llm-wikid\raw\articles\科研\玉米遗传转化\本研究建立三重增效方案：利用精子 - 合子特异启动子驱动优化 LbCas12aV；授粉后适度热激提升酶活；Cas 融合 UBA2 结构域抵御降解。热激与 UBA 联用使 Wx1 位点平均单倍编辑....md,science_transform,rule,article,4364
llm-wikid\raw\🤖 腾讯Hy3与阿里清华论文领衔，AI安全与市场波动并存 - AI 每日快报 - 2026年07月06日今日AI领域热点纷呈：腾讯混元Hy3正式版发布，阿里清华联合论文获ICML杰出论文奖，De....md,llm-wikid\raw\articles\科研\科研工具\了解-可能用到\🤖 腾讯Hy3与阿里清华论文领衔，AI安全与市场波动并存 - AI 每日快报 - 2026年07月06日今日AI领域热点纷呈：腾讯混元Hy3正式版发布，阿里清华联合论文获ICML杰出论文奖，De....md,science_research_news,rule,article,4323
