path,stem,title,link,slug,category_title,category_slug,source_type,length,matched_categories,preview
"llm-wikid\raw\articles\学习AI\代码自动化\47天，飞书CLI破万星,这是淘金开始的序曲 飞书 CLI 47 天破万星：开发者为什么在抢企业数字孪生入口.md","47天，飞书CLI破万星,这是淘金开始的序曲 飞书 CLI 47 天破万星：开发者为什么在抢企业数字孪生入口",飞书 CLI 47 天破万星：开发者为什么在抢企业数字孪生入口,"[[47天，飞书CLI破万星,这是淘金开始的序曲 飞书 CLI 47 天破万星：开发者为什么在抢企业数字孪生入口]]",47天-飞书cli破万星-这是淘金开始的序曲-飞书-cli-47-天破万星-开发者为什么在抢企业数字孪生入口,AI for Research,ai_for_research,notes,9311,AI for Research; Career and Business Ideas; Research Tools and Methods,飞书 CLI 47 天破万星：开发者为什么在抢企业数字孪生入口 笔记同步助手 来源 [原文链接](https://v.douyin.com/j5hs2UU1RtY/) 正文 **作者：**小天fotos 一、飞书 CLI 破万星：不只是一个开源项目的增长 飞书 CLI 在约一个半月内 GitHub Star 破万。作者认为，这并不只是“一万个开发者收藏了一个项目”，而更像是一批开发者正在进入一座新的“金矿”：企业数字孪生与企业 AI 转
llm-wikid\raw\articles\学习AI\代码自动化\十年前端三天的活被codex 3分钟干完了，天塌了-#ai #我在抖音聊科技 #当我开始使用codex #vibecoding #vibecoding大赏.md,十年前端三天的活被codex 3分钟干完了，天塌了-#ai #我在抖音聊科技 #当我开始使用codex #vibecoding #vibecoding大赏,十年前端三天的活被codex 3分钟干完了，天塌了 #ai #我在抖音聊科技 #当我开始使用codex #vibecoding #vibecoding大赏,[[十年前端三天的活被codex 3分钟干完了，天塌了-#ai #我在抖音聊科技 #当我开始使用codex #vibecoding #vibecoding大赏]],十年前端三天的活被codex-3分钟干完了-天塌了-ai-我在抖音聊科技-当我开始使用codex-vibecoding-vibecoding大赏,AI for Research,ai_for_research,notes,756,AI for Research; Career and Business Ideas,十年前端三天的活被codex 3分钟干完了，天塌了 #ai #我在抖音聊科技 #当我开始使用codex #vibecoding #vibecoding大赏 作者: idol ![[llm-wikid/raw/assets/images/a2556c9bd6de57d47c354ebda9019aa3_MD5.jpg|视频截图]] 视频截图 ![[llm-wikid/raw/assets/images/91c80ee703a4a51ffe
llm-wikid\raw\articles\学习AI\工具流程\学习 AI 这个封装了我3年自媒体经验的AI热点网站，今天向所有人免费开放。.md,学习 AI 这个封装了我3年自媒体经验的AI热点网站，今天向所有人免费开放。,这个封装了我3年自媒体经验的AI热点网站，今天向所有人免费开放。,[[学习 AI 这个封装了我3年自媒体经验的AI热点网站，今天向所有人免费开放。]],学习-ai-这个封装了我3年自媒体经验的ai热点网站-今天向所有人免费开放,AI for Research,ai_for_research,notes,7793,AI for Research; Career and Business Ideas; Research Tools and Methods,这个封装了我3年自媒体经验的AI热点网站，今天向所有人免费开放。 笔记同步助手 来源 [原文链接](https://mp.weixin.qq.com/s?__biz=MzIyMzA5NjEyMA==&mid=2647682019&idx=1&sn=13723968587c20aa81d71ed8c3b52fae&chksm=f13b89a4e097bd769c72b220a043f2ad67f8b5fb6b55e2f089b3d1bfc
"llm-wikid\raw\articles\学习AI\模型观察\Nature - 警惕使用Chat-GPT, 这些词汇轻易暴露论文是Chat-GPT帮忙写的，有专家呼吁零容忍....md","Nature - 警惕使用Chat-GPT, 这些词汇轻易暴露论文是Chat-GPT帮忙写的，有专家呼吁零容忍...","Nature - 警惕使用Chat-GPT, 这些词汇轻易暴露论文是Chat-GPT帮忙写的，有专家呼吁零容忍...","[[Nature - 警惕使用Chat-GPT, 这些词汇轻易暴露论文是Chat-GPT帮忙写的，有专家呼吁零容忍...]]",nature-警惕使用chat-gpt-这些词汇轻易暴露论文是chat-gpt帮忙写的-有专家呼吁零容忍,AI for Research,ai_for_research,article,4229,AI for Research; Research Tools and Methods; Career and Business Ideas; Maize Genetic Transformation,公众号名称：胡纯一实验室 Hu lab 作者名称：Hu Lab不二 发布时间：2024-04-12 07:39 随着ChatGPT的问世和普及，它迅速成为了科技领域的热门话题。​作为一种先进的大型语言模型，ChatGPT能够理解和生成人类般的文本，其应用范围广泛，从日常对话到专业的学术写作均有涉及。​这种技术不仅展示了人工智能在语言理解和生成方面的巨大潜力，也引发了对其长远影响的深入讨论。​在学术领域，ChatGPT的使用尤其引人注目，
llm-wikid\raw\articles\学习AI\模型观察\世界模型正在重新定义“游戏”的价值.md,世界模型正在重新定义“游戏”的价值,世界模型正在重新定义“游戏”的价值,[[世界模型正在重新定义“游戏”的价值]],世界模型正在重新定义-游戏-的价值,AI for Research,ai_for_research,article,9914,AI for Research; Research Tools and Methods; Career and Business Ideas,公众号名称：DeepTech深科技 作者名称：加洋 发布时间：2026-06-29 19:19 > 📹 此处为视频内容，请前往原文查看：[在公众号原文中观看](https://mp.weixin.qq.com/s?__biz=MzA3NTIyODUzNA==&mid=2649799632&idx=1&sn=e1772d607a6deac26e52b7b5acc0e9d3&chksm=86a8f622e290ff845e18b09bcde
llm-wikid\raw\articles\学习AI\模型观察\微信 agent 体验完微信Agent以后，我觉得这就是微信有史以来最大的更新。.md,微信 agent 体验完微信Agent以后，我觉得这就是微信有史以来最大的更新。,体验完微信Agent以后，我觉得这就是微信有史以来最大的更新。,[[微信 agent 体验完微信Agent以后，我觉得这就是微信有史以来最大的更新。]],微信-agent-体验完微信agent以后-我觉得这就是微信有史以来最大的更新,AI for Research,ai_for_research,notes,8654,AI for Research; Career and Business Ideas; Research Tools and Methods,体验完微信Agent以后，我觉得这就是微信有史以来最大的更新。 笔记同步助手 来源 [原文链接](https://mp.weixin.qq.com/s?__biz=MzIyMzA5NjEyMA==&mid=2647683790&idx=1&sn=43c90d4ebe98a2ff2cd241a95a94a38d&chksm=f1509bf18af210fe485d86c3816bbd435ae70e60542444bf625c74bff9
llm-wikid\raw\articles\科研\科研工具\了解-可能用到\Nature Communications - 从拟南芥到玉米：AI模型实现跨物种转录因子结合预测，精准挖掘抗逆位点.md,Nature Communications - 从拟南芥到玉米：AI模型实现跨物种转录因子结合预测，精准挖掘抗逆位点,Nature Communications - 从拟南芥到玉米：AI模型实现跨物种转录因子结合预测，精准挖掘抗逆位点,[[Nature Communications - 从拟南芥到玉米：AI模型实现跨物种转录因子结合预测，精准挖掘抗逆位点]],nature-communications-从拟南芥到玉米-ai模型实现跨物种转录因子结合预测-精准挖掘抗逆位点,AI for Research,ai_for_research,article,1936,AI for Research; Plant Stress Resilience; Research Tools and Methods; Bioinformatics Analysis; Career and Business Ideas; Maize Genetic Transformation; Maize Yield and Breeding; Plant Phenotyping and Imaging,公众号名称：植物生物技术Pbj 作者名称： 发布时间：2026-06-07 20:17 ![[llm-wikid/raw/assets/images/45e712b1682edc20d03d5c8ddaaf5fb5_MD5.png]] ![[llm-wikid/raw/assets/images/82872fb036964e8307edab0e9f9520cb_MD5.png]] 该研究开发了一个名为**DeepCistrome**的多
llm-wikid\raw\articles\科研\科研工具\了解-可能用到\🤖 腾讯Hy3与阿里清华论文领衔，AI安全与市场波动并存 - AI 每日快报 - 2026年07月06日今日AI领域热点纷呈：腾讯混元Hy3正式版发布，阿里清华联合论文获ICML杰出论文奖，De....md,🤖 腾讯Hy3与阿里清华论文领衔，AI安全与市场波动并存 - AI 每日快报 - 2026年07月06日今日AI领域热点纷呈：腾讯混元Hy3正式版发布，阿里清华联合论文获ICML杰出论文奖，De...,🤖 阿里清华论文获ICML杰出论文 | AI 每日快报 | 2026年07月06日,[[🤖 腾讯Hy3与阿里清华论文领衔，AI安全与市场波动并存 - AI 每日快报 - 2026年07月06日今日AI领域热点纷呈：腾讯混元Hy3正式版发布，阿里清华联合论文获ICML杰出论文奖，De...]],腾讯hy3与阿里清华论文领衔-ai安全与市场波动并存-ai-每日快报-2026年07月06日今日ai领域热点纷呈-腾讯混元hy3正式版发布-阿里清华联合论文获i,AI for Research,ai_for_research,article,4323,AI for Research; Finance and Investment; Research Tools and Methods,🤖 阿里清华论文获ICML杰出论文 | AI 每日快报 | 2026年07月06日 笔记同步助手 来源 [原文链接](https://mp.weixin.qq.com/s?__biz=MzI4NTcyMDM5MQ==&mid=2247483807&idx=1&sn=de3eba7a32356ed136c92caf604d02f5&chksm=ea358e2954dcd46815a9ea1a151a8e87d04f2f63ab439d6a
llm-wikid\raw\articles\科研\科研工具\高温表型工具\ Crop-IRM：作物种质资源器官表型智能识别与管理系统研发.md, Crop-IRM：作物种质资源器官表型智能识别与管理系统研发,Crop-IRM：作物种质资源器官表型智能识别与管理系统研发,[[ Crop-IRM：作物种质资源器官表型智能识别与管理系统研发]],crop-irm-作物种质资源器官表型智能识别与管理系统研发,AI for Research,ai_for_research,notes,6654,AI for Research; Maize Yield and Breeding; Research Tools and Methods; Career and Business Ideas; Plant Phenotyping and Imaging,Crop-IRM：作物种质资源器官表型智能识别与管理系统研发 笔记同步助手 来源 [原文链接](https://mp.weixin.qq.com/s?__biz=MzI0Mjg5ODI1Ng==&mid=2247546012&idx=1&sn=a516fc3ff06e60b1c32933d271c38c70&chksm=e81b0ab6d9679c1af444216049e14dc1f90229243fe0c6d939da0dd80d9
llm-wikid\raw\articles\科研\科研工具\高温表型工具\本文依托近二十年多作物AI育种实证案例，从高通量表型革新、AI分子育种、G×E×M互作建模、现存瓶颈与未来方向四大维度系统梳理AI在作物育种中的完整应用体系，为从事表型组、基因组、基因编辑、种质....md,本文依托近二十年多作物AI育种实证案例，从高通量表型革新、AI分子育种、G×E×M互作建模、现存瓶颈与未来方向四大维度系统梳理AI在作物育种中的完整应用体系，为从事表型组、基因组、基因编辑、种质...,Theoretical and Applied Genetics丨AI 赋能植物育种：数字表型与育种方法革新,[[本文依托近二十年多作物AI育种实证案例，从高通量表型革新、AI分子育种、G×E×M互作建模、现存瓶颈与未来方向四大维度系统梳理AI在作物育种中的完整应用体系，为从事表型组、基因组、基因编辑、种质...]],本文依托近二十年多作物ai育种实证案例-从高通量表型革新-ai分子育种-g-e-m互作建模-现存瓶颈与未来方向四大维度系统梳理ai在作物育种中的完整应用体系-为,AI for Research,ai_for_research,article,6924,AI for Research; Maize Yield and Breeding; Plant Phenotyping and Imaging; Research Tools and Methods; Bioinformatics Analysis; Plant Stress Resilience; Maize Genetic Transformation,Theoretical and Applied Genetics丨AI 赋能植物育种：数字表型与育种方法革新 笔记同步助手 来源 [原文链接](https://mp.weixin.qq.com/s?__biz=MzA4NjkzMDgzMw==&mid=2649787241&idx=1&sn=1866627eb8787b0ea2649ccb6f8d3a0f&chksm=86eab81a18f86eb656670692d9d9a65e2b4
